186, 679, -15769
213, 756, -15615
3, 764, -15870
63, 703, -15849
160, 758, -15733
59, 673, -15822
10, 819, -15657
8, 748, -15760
250, 750, -15792
71, 775, -15642
46, 752, -15711
31, 656, -15894
151, 710, -15745
203, 711, -15856
167, 771, -15820
246, 734, -15708
138, 726, -15757
236, 755, -15811
66, 748, -15832
188, 727, -15752
215, 687, -15760
126, 756, -15804
10, 671, -15689
243, 707, -15782
170, 656, -15773
232, 660, -15841
231, 775, -15782
248, 791, -15748
220, 693, -15805
51, 718, -15814
156, 689, -15817
250, 699, -15721
83, 725, -15774
220, 679, -15725
123, 672, -15679
223, 827, -15685
200, 703, -15718
215, 755, -15717
119, 719, -15742
244, 711, -15778
234, 799, -15668
6, 732, -15772
208, 698, -15791
230, 758, -15625
182, 731, -15682
2, 795, -15773
59, 779, -15765
197, 778, -15695
2, 775, -15765
26, 647, -15666
6, 706, -15846
48, 775, -15734
210, 702, -15850
191, 778, -15800
244, 731, -15801
8, 702, -15752
248, 682, -15722
63, 664, -15740
195, 699, -15817
215, 695, -15764
252, 727, -15760
234, 715, -15867
168, 723, -15888
154, 743, -15813
44, 790, -15747
214, 722, -15776
184, 711, -15785
43, 669, -15758
231, 755, -15844
232, 763, -15666
210, 682, -15833
178, 728, -15691
163, 657, -15738
232, 723, -15829
21, 671, -15611
235, 808, -15578
206, 792, -15993
19, 831, -15625
204, 763, -15646
214, 789, -15677
238, 739, -15780
190, 742, -15628
251, 698, -15708
253, 764, -15619
55, 655, -15752
253, 748, -15742
124, 751, -15818
219, 657, -15691
59, 680, -15740
227, 779, -15731
15, 691, -15798
240, 655, -15760
156, 604, -15705
147, 702, -15734
248, 727, -15870
207, 744, -15652
21, 687, -15747
202, 682, -15705
139, 736, -15589
54, 800, -15754
113, 769, -15633
236, 686, -15718
255, 712, -15808
102, 743, -15707
6, 686, -15744
152, 668, -15854
203, 652, -15818
214, 573, -15845
206, 773, -15670
70, 744, -15701
255, 808, -15608
183, 728, -15711
175, 731, -15654
230, 676, -15673
211, 695, -15786
231, 4407, -15736
255, 995, -15968
242, -755, -15674
90, -2097, -15979
136, 771, -15678
135, 730, -15748
15, 844, -15744
139, 755, -15738
46, 584, -15993
51, -1081, -15882
97, 3226, -15486
104, 1683, -15578
164, 758, -15705
236, 548, -15688
230, 1215, -15856
208, 933, -16094
182, 587, -16785
95, 628, -17200
104, 147, -16230
38, -297, -15957
155, 75, -16480
21, 712, -17233
28, 540, -16632
214, -91, -15905
75, 228, -16031
50, -211, -15931
204, 398, -16037
32, 359, -16197
226, 859, -16357
246, 999, -16481
15, 810, -16474
18, 731, -15572
132, 890, -15047
131, -26, -15449
151, -376, -16218
32, -187, -16314
71, -35, -15769
44, 369, -14942
23, -240, -14781
172, 315, -15285
23, 374, -15283
239, 580, -15195
199, 190, -14782
137, -341, -14600
27, 222, -14017
95, 74, -13869
206, -208, -14341
135, 149, -13805
204, -571, -13594
23, -339, -13504
107, -147, -13716
251, -289, -13755
140, -403, -13394
209, -293, -12905
150, -227, -12948
189, -110, -13624
24, -421, -13630
112, -313, -13413
182, -79, -13220
203, -427, -13369
205, -224, -13829
253, -316, -14290
166, -355, -13933
51, -56, -13409
91, -165, -13126
72, -421, -13608
81, -229, -13552
133, -158, -13671
95, -266, -13171
131, -464, -13293
170, -507, -13611
168, -342, -13804
67, -364, -14125
187, -345, -13981
23, -395, -13733
7, -266, -13772
77, -656, -13767
22, -32, -13950
79, -339, -13872
48, -297, -13828
26, -561, -13749
31, -703, -13398
180, -452, -13504
116, -584, -13532
161, -180, -13601
